"gsid","index_no","station","district","year","month","day","max_temp"
"168","1319","Biratnagar Airport","Morang","2015","09","04","29.5"
"168","1319","Biratnagar Airport","Morang","2015","09","05","32.8"
"168","1319","Biratnagar Airport","Morang","2015","09","06","33.8"
"168","1319","Biratnagar Airport","Morang","2015","09","07","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","08","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","09","35"
"168","1319","Biratnagar Airport","Morang","2015","09","10","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","11","34"
"168","1319","Biratnagar Airport","Morang","2015","09","12","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","13","34.6"
"168","1319","Biratnagar Airport","Morang","2015","09","14","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","15","32.8"
"168","1319","Biratnagar Airport","Morang","2015","09","16","34.4"
"168","1319","Biratnagar Airport","Morang","2015","09","17","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","18","36"
"168","1319","Biratnagar Airport","Morang","2015","09","19","35.6"
"168","1319","Biratnagar Airport","Morang","2015","09","20","31"
"168","1319","Biratnagar Airport","Morang","2015","09","21","29"
"168","1319","Biratnagar Airport","Morang","2015","09","22","30.6"
"168","1319","Biratnagar Airport","Morang","2015","09","23","32.9"
"168","1319","Biratnagar Airport","Morang","2015","09","24","30"
"168","1319","Biratnagar Airport","Morang","2015","09","25","32.3"
"168","1319","Biratnagar Airport","Morang","2015","09","26","33"
"168","1319","Biratnagar Airport","Morang","2015","09","27","33.8"
"168","1319","Biratnagar Airport","Morang","2015","09","28","34.2"
"168","1319","Biratnagar Airport","Morang","2015","09","29","34.5"
"168","1319","Biratnagar Airport","Morang","2015","09","30","34.5"
"168","1319","Biratnagar Airport","Morang","2015","10","01","34.5"
"168","1319","Biratnagar Airport","Morang","2015","10","02","34"
"168","1319","Biratnagar Airport","Morang","2015","10","03","34"
"168","1319","Biratnagar Airport","Morang","2015","10","04","33"
"168","1319","Biratnagar Airport","Morang","2015","10","05","34.3"
"168","1319","Biratnagar Airport","Morang","2015","10","06","34.2"
"168","1319","Biratnagar Airport","Morang","2015","10","07","34"
"168","1319","Biratnagar Airport","Morang","2015","10","08","34"
"168","1319","Biratnagar Airport","Morang","2015","10","09","33"
"168","1319","Biratnagar Airport","Morang","2015","10","10","33.5"
"168","1319","Biratnagar Airport","Morang","2015","10","11","31"
"168","1319","Biratnagar Airport","Morang","2015","10","12","31.5"
"168","1319","Biratnagar Airport","Morang","2015","10","13","32.5"
"168","1319","Biratnagar Airport","Morang","2015","10","14","32"
"168","1319","Biratnagar Airport","Morang","2015","10","15","31.2"
"168","1319","Biratnagar Airport","Morang","2015","10","16","32"
"168","1319","Biratnagar Airport","Morang","2015","10","17","32.6"
"168","1319","Biratnagar Airport","Morang","2015","10","18","31"
"168","1319","Biratnagar Airport","Morang","2015","10","19","31.7"
"168","1319","Biratnagar Airport","Morang","2015","10","20","31.5"
"168","1319","Biratnagar Airport","Morang","2015","10","21","32.2"
"168","1319","Biratnagar Airport","Morang","2015","10","22","32.3"
"168","1319","Biratnagar Airport","Morang","2015","10","23","31.5"
"168","1319","Biratnagar Airport","Morang","2015","10","24","30.5"
"168","1319","Biratnagar Airport","Morang","2015","10","25","30.2"
"168","1319","Biratnagar Airport","Morang","2015","10","26","31"
"168","1319","Biratnagar Airport","Morang","2015","10","27","30.3"
"168","1319","Biratnagar Airport","Morang","2015","10","28","31.9"
"168","1319","Biratnagar Airport","Morang","2015","10","29","30"
"168","1319","Biratnagar Airport","Morang","2015","10","30","29.2"
"168","1319","Biratnagar Airport","Morang","2015","10","31","31"
"168","1319","Biratnagar Airport","Morang","2015","11","01","31.5"
"168","1319","Biratnagar Airport","Morang","2015","11","02","31"
"168","1319","Biratnagar Airport","Morang","2015","11","03","31"
"168","1319","Biratnagar Airport","Morang","2015","11","04","30.5"
"168","1319","Biratnagar Airport","Morang","2015","11","05","29.7"
"168","1319","Biratnagar Airport","Morang","2015","11","06","29"
"168","1319","Biratnagar Airport","Morang","2015","11","07","30"
"168","1319","Biratnagar Airport","Morang","2015","11","08","30.3"
"168","1319","Biratnagar Airport","Morang","2015","11","09","30.5"
"168","1319","Biratnagar Airport","Morang","2015","11","10","30"
"168","1319","Biratnagar Airport","Morang","2015","11","11","30.5"
"168","1319","Biratnagar Airport","Morang","2015","11","12","30.4"
"168","1319","Biratnagar Airport","Morang","2015","11","13","30.5"
"168","1319","Biratnagar Airport","Morang","2015","11","14","30.3"
"168","1319","Biratnagar Airport","Morang","2015","11","15","28.5"
"168","1319","Biratnagar Airport","Morang","2015","11","16","28.8"
"168","1319","Biratnagar Airport","Morang","2015","11","17","28"
"168","1319","Biratnagar Airport","Morang","2015","11","18","27.5"
"168","1319","Biratnagar Airport","Morang","2015","11","19","28.6"
"168","1319","Biratnagar Airport","Morang","2015","11","20","29"
"168","1319","Biratnagar Airport","Morang","2015","11","21","30"
"168","1319","Biratnagar Airport","Morang","2015","11","22","30.5"
"168","1319","Biratnagar Airport","Morang","2015","11","23","29"
"168","1319","Biratnagar Airport","Morang","2015","11","24","29.2"
"168","1319","Biratnagar Airport","Morang","2015","11","25","29"
"168","1319","Biratnagar Airport","Morang","2015","11","26","28"
"168","1319","Biratnagar Airport","Morang","2015","11","27","28.5"
"168","1319","Biratnagar Airport","Morang","2015","11","28","28.2"
"168","1319","Biratnagar Airport","Morang","2015","11","29","29"
"168","1319","Biratnagar Airport","Morang","2015","11","30","29"
"168","1319","Biratnagar Airport","Morang","2015","12","01","28.5"
"168","1319","Biratnagar Airport","Morang","2015","12","02","28"
"168","1319","Biratnagar Airport","Morang","2015","12","03","27.5"
"168","1319","Biratnagar Airport","Morang","2015","12","04","25"
"168","1319","Biratnagar Airport","Morang","2015","12","05","25"
"168","1319","Biratnagar Airport","Morang","2015","12","06","25"
"168","1319","Biratnagar Airport","Morang","2015","12","07","27.4"
"168","1319","Biratnagar Airport","Morang","2015","12","08","26.2"
"168","1319","Biratnagar Airport","Morang","2015","12","09","26.5"
"168","1319","Biratnagar Airport","Morang","2015","12","10","20"
"168","1319","Biratnagar Airport","Morang","2015","12","11","18.7"
"168","1319","Biratnagar Airport","Morang","2015","12","12","24.5"
"168","1319","Biratnagar Airport","Morang","2015","12","13","24"
"168","1319","Biratnagar Airport","Morang","2015","12","14","25"
"168","1319","Biratnagar Airport","Morang","2015","12","15","21"
"168","1319","Biratnagar Airport","Morang","2015","12","16","23.2"
"168","1319","Biratnagar Airport","Morang","2015","12","17","24.4"
"168","1319","Biratnagar Airport","Morang","2015","12","18","24"
"168","1319","Biratnagar Airport","Morang","2015","12","19","23"
"168","1319","Biratnagar Airport","Morang","2015","12","20","22.7"
"168","1319","Biratnagar Airport","Morang","2015","12","21","22.4"
"168","1319","Biratnagar Airport","Morang","2015","12","22","25"
"168","1319","Biratnagar Airport","Morang","2015","12","23","24"
"168","1319","Biratnagar Airport","Morang","2015","12","24","24.5"
"168","1319","Biratnagar Airport","Morang","2015","12","25","24"
"168","1319","Biratnagar Airport","Morang","2015","12","26","25.4"
"168","1319","Biratnagar Airport","Morang","2015","12","27","25"
"168","1319","Biratnagar Airport","Morang","2015","12","28","26"
"168","1319","Biratnagar Airport","Morang","2015","12","29","26"
"168","1319","Biratnagar Airport","Morang","2015","12","30","26"
"168","1319","Biratnagar Airport","Morang","2015","12","31","26.2"
"168","1319","Biratnagar Airport","Morang","2016","01","01","26.5"
"168","1319","Biratnagar Airport","Morang","2016","01","02","26.8"
"168","1319","Biratnagar Airport","Morang","2016","01","03","25"
"168","1319","Biratnagar Airport","Morang","2016","01","04","26.5"
"168","1319","Biratnagar Airport","Morang","2016","01","05","26"
"168","1319","Biratnagar Airport","Morang","2016","01","06","26"
"168","1319","Biratnagar Airport","Morang","2016","01","07","26.6"
"168","1319","Biratnagar Airport","Morang","2016","01","08","24"
"168","1319","Biratnagar Airport","Morang","2016","01","09","23.3"
"168","1319","Biratnagar Airport","Morang","2016","01","10","22"
"168","1319","Biratnagar Airport","Morang","2016","01","11","22.6"
"168","1319","Biratnagar Airport","Morang","2016","01","12","24"
"168","1319","Biratnagar Airport","Morang","2016","01","13","23.6"
"168","1319","Biratnagar Airport","Morang","2016","01","14","24"
"168","1319","Biratnagar Airport","Morang","2016","01","15","25"
"168","1319","Biratnagar Airport","Morang","2016","01","16","25"
"168","1319","Biratnagar Airport","Morang","2016","01","17","25"
"168","1319","Biratnagar Airport","Morang","2016","01","18","24.2"
"168","1319","Biratnagar Airport","Morang","2016","01","19","24"
