"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2015","09","15","25.2"
"168","1319","Biratnagar Airport","Morang","2015","09","16","26.3"
"168","1319","Biratnagar Airport","Morang","2015","09","17","26.6"
"168","1319","Biratnagar Airport","Morang","2015","09","18","26.2"
"168","1319","Biratnagar Airport","Morang","2015","09","19","26.5"
"168","1319","Biratnagar Airport","Morang","2015","09","20","25"
"168","1319","Biratnagar Airport","Morang","2015","09","21","24.4"
"168","1319","Biratnagar Airport","Morang","2015","09","22","25"
"168","1319","Biratnagar Airport","Morang","2015","09","23","25.9"
"168","1319","Biratnagar Airport","Morang","2015","09","24","25.5"
"168","1319","Biratnagar Airport","Morang","2015","09","25","25.5"
"168","1319","Biratnagar Airport","Morang","2015","09","26","23.6"
"168","1319","Biratnagar Airport","Morang","2015","09","27","24.5"
"168","1319","Biratnagar Airport","Morang","2015","09","28","23.5"
"168","1319","Biratnagar Airport","Morang","2015","09","29","23.6"
"168","1319","Biratnagar Airport","Morang","2015","09","30","23.8"
"168","1319","Biratnagar Airport","Morang","2015","10","01","24.7"
"168","1319","Biratnagar Airport","Morang","2015","10","02","26.6"
"168","1319","Biratnagar Airport","Morang","2015","10","03","23.8"
"168","1319","Biratnagar Airport","Morang","2015","10","04","24.8"
"168","1319","Biratnagar Airport","Morang","2015","10","05","23"
"168","1319","Biratnagar Airport","Morang","2015","10","06","21"
"168","1319","Biratnagar Airport","Morang","2015","10","07","21.5"
"168","1319","Biratnagar Airport","Morang","2015","10","08","22.5"
"168","1319","Biratnagar Airport","Morang","2015","10","09","23.4"
"168","1319","Biratnagar Airport","Morang","2015","10","10","22.5"
"168","1319","Biratnagar Airport","Morang","2015","10","11","22.6"
"168","1319","Biratnagar Airport","Morang","2015","10","12","21.7"
"168","1319","Biratnagar Airport","Morang","2015","10","13","21.7"
"168","1319","Biratnagar Airport","Morang","2015","10","14","22.6"
"168","1319","Biratnagar Airport","Morang","2015","10","15","21.3"
"168","1319","Biratnagar Airport","Morang","2015","10","16","21.4"
"168","1319","Biratnagar Airport","Morang","2015","10","17","19.6"
"168","1319","Biratnagar Airport","Morang","2015","10","18","21.4"
"168","1319","Biratnagar Airport","Morang","2015","10","19","21.7"
"168","1319","Biratnagar Airport","Morang","2015","10","20","21.9"
"168","1319","Biratnagar Airport","Morang","2015","10","21","22.2"
"168","1319","Biratnagar Airport","Morang","2015","10","22","22"
"168","1319","Biratnagar Airport","Morang","2015","10","23","21.6"
"168","1319","Biratnagar Airport","Morang","2015","10","24","21.9"
"168","1319","Biratnagar Airport","Morang","2015","10","25","20"
"168","1319","Biratnagar Airport","Morang","2015","10","26","19"
"168","1319","Biratnagar Airport","Morang","2015","10","27","19.5"
"168","1319","Biratnagar Airport","Morang","2015","10","28","20.5"
"168","1319","Biratnagar Airport","Morang","2015","10","29","18.7"
"168","1319","Biratnagar Airport","Morang","2015","10","30","20.8"
"168","1319","Biratnagar Airport","Morang","2015","10","31","19"
"168","1319","Biratnagar Airport","Morang","2015","11","01","18.5"
"168","1319","Biratnagar Airport","Morang","2015","11","02","18.5"
"168","1319","Biratnagar Airport","Morang","2015","11","03","20.1"
"168","1319","Biratnagar Airport","Morang","2015","11","04","19.5"
"168","1319","Biratnagar Airport","Morang","2015","11","05","16.5"
"168","1319","Biratnagar Airport","Morang","2015","11","06","17.1"
"168","1319","Biratnagar Airport","Morang","2015","11","07","19.5"
"168","1319","Biratnagar Airport","Morang","2015","11","08","18.5"
"168","1319","Biratnagar Airport","Morang","2015","11","09","15.7"
"168","1319","Biratnagar Airport","Morang","2015","11","10","15.8"
"168","1319","Biratnagar Airport","Morang","2015","11","11","15.2"
"168","1319","Biratnagar Airport","Morang","2015","11","12","16"
"168","1319","Biratnagar Airport","Morang","2015","11","13","16"
"168","1319","Biratnagar Airport","Morang","2015","11","14","15.9"
"168","1319","Biratnagar Airport","Morang","2015","11","15","17"
"168","1319","Biratnagar Airport","Morang","2015","11","16","18"
"168","1319","Biratnagar Airport","Morang","2015","11","17","18.2"
"168","1319","Biratnagar Airport","Morang","2015","11","18","17.5"
"168","1319","Biratnagar Airport","Morang","2015","11","19","17.5"
"168","1319","Biratnagar Airport","Morang","2015","11","20","15.5"
"168","1319","Biratnagar Airport","Morang","2015","11","21","15"
"168","1319","Biratnagar Airport","Morang","2015","11","22","15"
"168","1319","Biratnagar Airport","Morang","2015","11","23","15.3"
"168","1319","Biratnagar Airport","Morang","2015","11","24","15.3"
"168","1319","Biratnagar Airport","Morang","2015","11","25","15.4"
"168","1319","Biratnagar Airport","Morang","2015","11","26","15"
"168","1319","Biratnagar Airport","Morang","2015","11","27","15.5"
"168","1319","Biratnagar Airport","Morang","2015","11","28","14.5"
"168","1319","Biratnagar Airport","Morang","2015","11","29","14.9"
"168","1319","Biratnagar Airport","Morang","2015","11","30","14.7"
"168","1319","Biratnagar Airport","Morang","2015","12","01","15.2"
"168","1319","Biratnagar Airport","Morang","2015","12","02","16"
"168","1319","Biratnagar Airport","Morang","2015","12","03","16"
"168","1319","Biratnagar Airport","Morang","2015","12","04","17"
"168","1319","Biratnagar Airport","Morang","2015","12","05","17.2"
"168","1319","Biratnagar Airport","Morang","2015","12","06","14.5"
"168","1319","Biratnagar Airport","Morang","2015","12","07","13"
"168","1319","Biratnagar Airport","Morang","2015","12","08","12.8"
"168","1319","Biratnagar Airport","Morang","2015","12","09","12.5"
"168","1319","Biratnagar Airport","Morang","2015","12","10","16.8"
"168","1319","Biratnagar Airport","Morang","2015","12","11","12.5"
"168","1319","Biratnagar Airport","Morang","2015","12","12","11.7"
"168","1319","Biratnagar Airport","Morang","2015","12","13","12.3"
"168","1319","Biratnagar Airport","Morang","2015","12","14","14.7"
"168","1319","Biratnagar Airport","Morang","2015","12","15","7.7"
"168","1319","Biratnagar Airport","Morang","2015","12","16","8.6"
